## evidence manifest refresh check after targeted valence-hyperion digest refresh
cwd=/home/brittonr/git/mc
date_utc=2026-06-23T20:22:38Z
command=nix run .#evidence-manifest-refresh -- --check
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-return-drop-2026-05-30.b3:18: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-score-limit-win-condition-2026-05-30.b3:17: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-score-limit-win-condition-2026-05-30.b3:22: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-score-limit-win-condition-2026-05-30.b3:23: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-simultaneous-pickup-capture-race-2026-06-01.b3:11: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-simultaneous-pickup-capture-race-2026-06-01.b3:14: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-simultaneous-pickup-capture-race-validation-2026-06-01.b3:23: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-simultaneous-pickup-capture-race-validation-2026-06-01.b3:24: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-simultaneous-pickup-capture-race-validation-2026-06-01.b3:26: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-spawn-team-balance-reset-2026-06-01.b3:11: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-spawn-team-balance-reset-2026-06-01.b3:14: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/protocol-763-equipment-slot-item-expansion-checker-2026-05-29.b3:2: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/protocol-763-equipment-slot-item-expansion-rail-2026-05-29.b3:1: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-equipment-slot-item-expansion-validation-2026-05-29.b3:11: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-public-server-authorized-safety-2026-05-30.b3:12: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-public-server-authorized-safety-2026-05-30.b3:13: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/protocol-763-public-server-authorized-safety-2026-05-30.b3:14: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/protocol-763-python-gate-rust-migration-2026-05-31.b3:11: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/protocol-763-red-blue-scoring-soak-live-refresh-2026-05-30.b3:20: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/protocol-763-survival-chest-persistence-runner-2026-05-29.b3:3: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
